Title,O*NET-SOC Code,Reading Comprehension - IM,Reading Comprehension - LV,Active Listening - IM,Active Listening - LV,Writing - IM,Writing - LV,Speaking - IM,Speaking - LV,Mathematics - IM,Mathematics - LV,Science - IM,Science - LV,Critical Thinking - IM,Critical Thinking - LV,Active Learning - IM,Active Learning- LV,Learning Strategies - IM,Learning Strategies- LV,Monitoring - IM,Monitoring - LV,Social Perceptiveness - IM,Social Perceptiveness - LV,Coordination - IM,Coordination - LV,Persuasion - IM,Persuasion - LV,Negotiation - IM,Negotiation - LV,Instructing - IM,Instructing - LV,Service Orientation - IM,Service Orientation - LV,Complex Problem Solving - IM,Complex Problem Solving - LV,Operations Analysis - IM,Operations Analysis - LV,Technology Design - IM,Technology Design - LV,Equipment Selection - IM,Equipment Selection - LV,Installation - IM,Installation - LV,Programming - IM,Programming - LV,Operations Monitoring - IM,Operations Monitoring - LV,Operation and Control - IM,Operation and Control  - LV,Equipment Maintenance - IM,Equipment Maintenance - LV,Troubleshooting - IM,Troubleshooting - LV,Repairing - IM,Repairing - LV,Quality Control Analysis - IM,Quality Control Analysis - LV,Judgment and Decision Making - IM,Judgment and Decision Making - LV,Systems Analysis - IM,Systems Analysis - LV,Systems Evaluation - IM,Systems Evaluation - LV,Time Management - IM,Time Management - LV,Management of Financial Resources - IM,Management of Financial Resources - LV,Management of Material Resources - IM,Management of Material Resources - LV,Management of Personnel Resources - IM,Management of Personnel Resources - LV
Police and Sheriff's Patrol Officers,33-3051.00,3.62,3.88,3.88,3.75,3.25,3.5,3.88,4,2.25,2.12,1.38,0.62,3.75,3.88,3.75,3.38,2.62,3,3.5,3.5,3.88,4,3.62,3.62,3.62,3.75,3.38,3.38,3.12,3.25,3.5,3.5,3.25,2.88,1.12,0.25,1.62,0.75,1.25,0.5,1,0,1.5,0.75,2.62,2.12,2.38,2,1.12,0.25,1.75,1.12,1,0,1.75,1,3.62,3.62,2.5,2.62,2.38,2.5,3.25,3,1.75,1.25,1.88,1.25,2.75,2.62
Customs and Border Protection Officers,33-3051.04,3.88,3.88,4,4,3.62,3.75,4,4,2.25,2.12,1.88,1.12,4,3.88,3.38,3.12,2.62,2.88,3.62,3.75,3.88,3.38,3.38,3.38,3.12,3.12,3,3,2.75,3,3,3,3.12,3,1.5,0.62,1.5,0.5,1,0,1,0,1.5,0.5,2.38,2.25,2.25,2.12,1,0,1.75,0.88,1,0,2.12,1.88,3.62,3.5,2.62,2.38,2.38,2.5,3,3.25,1.75,0.75,1.75,1.12,2.75,2.75
Transit and Railroad Police,33-3052.00,3.12,3.25,4,3.25,3.25,3,4,3.88,2,2,1.12,0.12,3.88,3.38,3.25,3,2.88,3.25,3.38,3.5,3.38,3.25,3.25,3.25,3,3.38,3.12,3.12,3,3,3.12,3,3.75,3,1.88,1.75,1.5,0.62,1,0,1,0,1.62,0.75,2.75,2.25,2.5,2.25,1,0,1.88,1.5,1,0,2,1.62,3.25,3.12,3,2.75,2.38,2.25,3,3.12,2,1.12,2,1.12,2.88,2.88
Animal Control Workers,33-9011.00,3.12,3,3.75,3.38,3,2.88,3.75,3,1.88,1.25,1.25,0.25,3.5,3.5,3,2.88,2.5,2.62,3,2.88,3.12,2.88,3,3,2.88,2.88,2.62,2.5,2.5,2.62,3.12,2.88,2.88,2.75,1.75,1.38,1.25,0.25,1.38,0.38,1,0,1.38,0.38,2,1.75,1.88,1.5,1.12,0.12,1.38,0.38,1,0,1.62,1.25,3,2.88,2.12,1.88,2.12,2.12,2.88,2.88,1.62,0.75,1.88,1,2.25,2
Private Detectives and Investigators,33-9021.00,3.88,4,4.12,4.12,3.62,3.62,4,3.88,2.25,2.12,1.5,0.62,3.88,4.12,3.38,3.38,2.5,2.12,3.38,3.5,3.5,3.5,3,2.88,2.88,3,2.88,2.88,2.25,2.25,3,2.88,3.75,3,1.88,1.5,1.62,0.62,1.25,0.38,1,0,1.75,1,1.88,0.88,2.12,1.38,1,0,1.38,0.38,1,0,1.75,1.25,3.38,3.38,2.88,2.88,2.75,2.88,3,3,1.75,1.12,1.88,1,2.25,2
Gambling Surveillance Officers and Gambling Investigators,33-9031.00,3.25,3.5,3.25,3.25,3.12,3.12,3.62,3.62,2.12,1.75,1.25,0.25,3.75,3.75,3.12,3.12,2.5,2.88,4.12,3.88,3.12,2.88,2.88,3,2.5,2.38,2.38,2.38,3,3,2.62,2.38,3,2.5,1.5,0.5,1.62,0.62,1,0,1,0,1.38,0.38,2.38,2.12,2,1.62,1,0,1.75,0.75,1.25,0.25,2.25,1.88,3.38,3.12,2.5,2.25,2.38,2.38,2.88,3,1.62,0.62,1.62,0.62,2.62,2.5
Security Guards,33-9032.00,3,3,3.75,3,2.75,2.75,3.25,3,2,1.25,1.5,0.62,3.12,3,2.88,2.75,2.62,2.25,3.38,3.12,3,3.12,3.12,3,2.88,3,2.62,2.38,2.25,2.25,2.88,2.62,2.62,2.38,1.5,0.62,1.12,0.25,1,0,1,0,1.12,0.25,2.25,2.25,2.12,2,1.12,0.12,2,1.25,1,0,2,1.25,3,2.5,2,1.25,2,1.38,2.5,2.12,1.38,0.5,1.38,0.5,2.12,2
Crossing Guards and Flaggers,33-9091.00,2.25,2,2.88,2.75,2,1.75,3.12,2.5,1.62,0.62,1,0,2.75,2.5,2.25,1.62,1.88,0.88,2.88,2.62,3,2.5,2.75,2.5,2.12,1.75,2.12,1.38,1.88,1.5,2.75,2.62,2.38,1.88,1.25,0.25,1,0,1,0,1,0,1,0,1.62,0.62,1,0,1,0,1.38,0.38,1,0,1.25,0.25,2.75,2.5,1.88,0.88,1.75,0.75,2,1.62,1.38,0.38,1.5,0.5,1.62,1
"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",33-9092.00,2.88,2.88,3.12,3.12,2.5,2.62,3.5,3,1.38,0.62,1.5,0.62,3,3,2.75,2.75,3.12,3,3.75,3.5,3.38,3.25,3,2.88,2.5,2.5,2,2,2.75,2.5,3.25,3.12,3,2.62,1.25,0.25,1,0,1.38,0.5,1,0,1,0,2.12,1.25,1.38,0.5,1.25,0.25,1.62,0.75,1.25,0.25,1.88,1.5,3,3,1.88,1.12,2,1.38,2.38,1.88,1.12,0.12,1.25,0.38,2,2
Transportation Security Screeners,33-9093.00,3,3,3.25,3.5,2.88,2.62,3.38,3,1.88,1.62,1.75,1,3.25,3.5,2.88,3,2.5,2.75,3.38,3.12,3.25,3,3.25,3.38,3,3,2.62,2.5,2.88,2.88,3,2.75,2.75,2.75,1.88,1.38,1,0,1.88,1.62,1,0,1.5,0.88,2.75,2.88,2.62,2.5,2,1.5,2.25,1.88,1.62,1.25,2.5,2.5,3.12,2.88,2.12,2,2.38,2.38,2.62,2.12,1.62,1,1.88,1.12,2.5,2.38
Retail Loss Prevention Specialists,33-9099.02,3.25,3.62,3.5,3.25,3.12,3.25,3.5,3.5,2.62,2.75,1.25,0.25,3.75,3.62,3.25,3,2.88,2.75,3.5,3.5,3.38,3.12,3.12,3.12,2.75,2.88,2.75,2.62,2.88,3,2.88,2.75,3,2.88,1.38,0.75,1.62,0.88,1.12,0.38,1,0,1.62,1,2.62,2.38,1.88,1.38,1,0,2.25,1.88,1,0,2.38,2.25,3.38,3,3,2.75,2.88,3,3,2.75,2,1.62,1.88,1.5,2.88,2.88
Chefs and Head Cooks,35-1011.00,3.12,3.25,3.75,3.62,3.12,3,3.88,3.88,3.12,3.12,1.62,0.75,3.75,3.88,3.12,3.75,3.12,3.25,3.88,4.12,3.62,3.75,4,4,3.12,3.75,3.25,3.75,3.25,3.12,3.38,3.12,3.25,3.25,2.5,2.38,1.75,1.12,2.12,1.88,1,0,1.5,0.5,3,2.75,2.25,2,2,1.12,2,1.75,1.88,1,3.25,3.12,3.62,3.25,3,3,2.88,3,3.88,3.88,3,3.12,3.12,3.25,3.62,3.75
First-Line Supervisors of Food Preparation and Serving Workers,35-1012.00,3.38,3.5,3.75,3.12,2.88,3.12,3.88,3.75,3,3,1,0,3.25,4,3,3.25,3.12,3.12,3.88,3.75,3.38,3.62,3.88,3.75,3.25,3.25,3,3,3.62,3,3.75,3.62,3.12,3,1.88,1.62,1.62,0.62,1.12,0.12,1,0,1.38,0.38,2.12,2,2,1.88,1.12,0.12,2,1.38,1,0,2.88,2.62,3.12,3,3,3,3.12,3.25,3.12,3.62,3.12,2.88,2.88,2.75,3.62,3.62
"Cooks, Fast Food",35-2011.00,2.62,2.62,3,2.38,2,2,2.75,2.12,2,1.62,1,0,2.62,2.38,2.38,2.25,2,1.62,2.62,2.25,2.75,2.62,2.75,2.12,2.25,2.12,2.12,2.12,2.12,2,3,2.12,2,2.12,1.25,0.38,1.25,0.25,1,0,1,0,1,0,2.12,1.75,1.75,1.5,1,0,1,0,1,0,1.75,1.25,2.38,2.12,2,1.25,2,1.12,2.5,2.12,1.62,0.62,1.5,0.38,2,1.5
"Cooks, Institution and Cafeteria",35-2012.00,2.88,2.88,3,3,2.75,2.62,3.12,2.88,2.88,2.75,1,0,3,2.88,2.88,2.88,2.75,2.75,3.12,3,2.88,2.88,3,3.12,2.62,2.5,2.5,2,2.75,2.75,3.12,3,3,2.88,1.88,1.62,1.62,0.75,1.5,0.62,1,0,1,0,3.12,2.38,2.88,2,1.25,0.25,2,1.12,1,0,3.12,2.5,3.12,2.88,2.5,2,2.38,2.12,3,3,2.25,1.88,2.62,2.62,3,3
"Cooks, Private Household",35-2013.00,3,3,3,2.88,2.88,2.75,3,2.88,2.25,2,1.38,0.5,3.25,3.12,2.88,3,2.75,2.38,3,3,3,3,2.88,3,2.75,2.88,2.12,2.25,2.12,1.38,3.12,3.5,3,2.88,2.12,2,1.62,0.75,1.75,0.88,1,0,1.25,0.38,2.38,2.38,2.38,2,1,0,2,1.25,1.12,0.25,2.25,1.88,3,3,2.25,2,2.25,2,3,3,2.5,2.38,2.88,2.88,2.62,2.88
"Cooks, Restaurant",35-2014.00,2.88,2.38,3,3,2.25,2.5,3,3,2.5,2.25,1.25,0.38,3,3,2.75,2.75,2.12,2.38,3.12,3.12,2.88,2.88,3,3.12,2.38,2.12,2.38,2.25,2.12,2.5,2.38,2.38,2.25,2.12,1.62,0.75,1.25,0.25,1.75,1.12,1,0,1.12,0.12,2.75,2.38,2.25,2,1,0,2,1.25,1,0,2.75,2.5,2.88,2.62,2.25,2,2.25,2.12,3,3,2.12,1.75,2.25,2.12,2.62,2.5
"Cooks, Short Order",35-2015.00,3,2.75,3.25,2.88,2.25,2.62,3,2.88,2,2,1,0,3,2.75,2.88,2.62,2.12,2.25,2.88,2.88,2.88,2.75,3,3,2.75,2.62,2.62,2.25,2.25,2.38,3,2.88,2.88,2.12,1.12,0.25,1.75,0.75,1.25,0.25,1,0,1.12,0.12,2.12,1.88,1.62,0.75,1,0,2,1.5,1,0,2,1.62,2.62,2.38,1.62,1.12,2,1.88,3,2.75,1.88,1.5,2.25,1.88,2.5,2.25
Food Preparation Workers,35-2021.00,2.62,2.12,3,2.38,2.25,2.12,3,2.12,2.12,1.88,1,0,2.88,2.12,2.38,2.12,2.38,2.12,2.88,2.12,3,2.12,3,2.12,2.38,2,2.25,1.75,2.25,2.12,3,2.12,2.25,2.12,1.12,0.25,1.12,0.12,1.12,0.12,1,0,1,0,2,1.88,2,1.38,1,0,1.88,1.38,1,0,2.12,1.88,2.62,2.12,2.12,1.25,2.12,1.25,3,2.25,1.38,0.62,1.62,0.88,2.25,1.88
Bartenders,35-3011.00,3,3,3.75,3.12,2.75,3,3.12,3,2.25,2.12,1,0,3.12,2.88,3,3,2.88,2.88,3,3,3.25,3,3.12,3,3.12,3,2.88,2.88,3,3,3.62,3.12,3,2.62,1,0,1.5,0.5,1.25,0.25,1,0,1.25,0.25,2,2,1.62,0.88,1.12,0.12,1.88,1.25,1,0,2.25,1.88,2.88,2.88,2.25,2,2.25,2.12,3,2.5,2.25,2,2.38,2.12,2.5,2.5
Fast Food and Counter Workers,35-3023.00,2.5,2,3.12,2.25,2.12,1.88,2.75,2,2.25,1.88,1.12,0.12,2.88,2.62,1.75,1.5,2.25,2.25,2.75,2.12,3.12,2.12,3,2.75,2.25,1.88,2,1.75,2.25,2,3.25,2.5,2,1.62,1.25,0.38,1.5,0.62,1,0,1,0,1,0,2.12,1.5,1.88,1.38,1,0,1.75,1,1,0,2.12,1.62,2.62,1.88,1.88,1.75,2,1.75,2.38,1.88,1.62,0.75,2.25,1.5,2.38,2.12
Baristas,35-3023.01,3,2.75,3.5,2.62,2.62,2.38,3.38,2.62,2.12,2,1,0,2.88,2.75,2.62,2.62,2.38,2,3,2.5,3.12,2.62,3,2.75,2.75,2.5,2.5,2.5,2.25,2.5,3.38,2.88,2.38,2.25,1.12,0.25,1.38,0.5,1.62,1.12,1,0,1,0,2.5,2.38,2.75,2.25,2.12,1.62,2.12,1.62,2,1.5,2.25,1.88,2.38,2.25,1.75,1.38,1.75,1.25,2.62,2.38,1.75,1.12,1.88,1.12,2.12,1.88
Waiters and Waitresses,35-3031.00,2.75,2.38,3.75,2.88,2,2.12,3.62,2.5,2.12,1.75,1,0,2.88,2.75,2.88,2.12,2.38,2.12,3,2.75,3.5,2.75,3.12,2.75,2.88,2.12,2.62,2.12,2.38,2.12,3.62,2.88,2.88,2.12,1,0,1.12,0.12,1,0,1,0,1.12,0.12,1.88,1.38,1.62,0.75,1,0,1.62,0.62,1,0,2,1.25,2.88,2.25,2,1.25,2,1.38,2.75,2.25,1.5,0.62,1.5,0.5,2.12,2.12
"Food Servers, Nonrestaurant",35-3041.00,2.88,2.12,3,2.38,2,2.12,3,2.5,2,1.5,1,0,2.88,2.38,2,2.12,2,2.12,2.75,2.25,2.88,2.62,2.88,2.62,2.12,2,2.12,1.38,2.12,1.88,3,2.12,2.12,2.12,1.5,0.62,1.75,0.75,1.12,0.12,1,0,1.12,0.12,2.12,1.38,2,1.12,1.12,0.25,2,1.12,1,0,2.12,2,2.75,2.12,2,1.25,2,1.12,2.88,2.12,1.88,1,1.88,1,2.25,2
Dining Room and Cafeteria Attendants and Bartender Helpers,35-9011.00,2.38,2,3,2,2,1.25,2.88,2.12,1.88,1.25,1,0,2.75,2.25,2.12,2.12,2,2,2.88,2.12,2.88,2,3,2.88,2,1.88,2,1.75,2,1.88,3,2.12,2,2,1.12,0.25,1.12,0.12,1,0,1,0,1.12,0.12,2.12,1.5,1.75,0.88,1,0,2,1.12,1,0,2,1.5,2.88,2.12,2,1.12,2,1.12,2.25,2.12,2,1.38,2,1.12,2.25,2.12
Dishwashers,35-9021.00,2,2.12,2.75,2.25,2,1.75,2.75,2.12,2,1,1,0,2.62,2.12,2,2,2,1.25,2.62,2.12,2.62,2,2.75,2.12,2,1.88,2,2,2,1.38,2.25,2,2.12,2.12,1.12,0.25,1.12,0.12,2,2,1,0,1,0,2.75,2.12,2.75,2.12,2.12,2,2,2,2,2,2.62,2,2.5,2.12,2,1.12,2,1.12,2.88,2.12,1.75,0.75,1.88,0.88,2,2
"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",35-9031.00,2.88,2.38,3.62,2.88,2.38,2.12,3.38,2.88,2.12,1.88,1,0,2.88,2.62,2.62,2.38,2.25,2.12,2.75,2,3.25,2.88,3,3,2.75,2.75,2.88,2.62,2.5,2,3.25,3.12,2.25,1.75,1,0,1.12,0.12,1,0,1,0,1.25,0.25,1.5,0.5,1.12,0.25,1,0,1.25,0.25,1,0,1.62,0.62,2.5,1.88,2.12,1.88,1.88,1.62,2.62,2.38,1.25,0.25,1.25,0.25,2.25,2.12
First-Line Supervisors of Housekeeping and Janitorial Workers,37-1011.00,3,3.25,3.12,3.12,2.88,3,3.25,3.38,2.12,2.12,1,0,3.12,3.25,2.88,2.88,3.12,3,3.25,3.88,3.12,3.38,3.25,3.5,2.88,3.12,3,3,3.12,3.12,3.12,3.12,3.12,2.88,1.88,1.5,1.38,0.38,2,1.12,1,0,1,0,2.25,2,2,1.75,2.12,1.75,2.12,1.88,1.88,1.38,3,2.62,3,2.88,2.38,2.12,2.62,2.38,3.25,3.75,2.38,2.5,2.75,3,3.38,3.88
"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",37-1012.00,3.12,3.62,3.88,3.88,3,3,3.75,4,2.88,2.88,1.62,1,3.75,3.75,3.12,3,3.12,3,4,3.75,3.25,3.62,3.75,3.75,3.12,3,2.88,3,3.25,3,3.12,3.12,3.12,3,2.12,2.12,1.88,1,2.25,1.62,1.38,0.38,1.62,0.75,3,3,3,2.88,2.25,2.12,2.25,2.12,2.12,1.88,3.12,2.88,3.25,3,2.88,2.88,2.88,2.88,4,3.88,2.25,2.25,2.88,2.88,3.88,3.88
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",37-2011.00,2.5,2.25,3,2.25,2.38,2.25,3,2.12,1.38,0.62,1,0,2.75,2.12,2.62,2.12,2.12,1.5,2.75,2.25,2.62,2.12,2.75,2.25,2.12,2,2,1.88,2.12,1.38,2.5,2.25,2.25,2.12,1.12,0.12,1.25,0.25,2,1.5,1,0,1.25,0.25,2.25,2,2,1.5,2,2,2.12,2.12,2,1.62,2,1.5,2.38,2.12,2,1.38,1.88,1.25,2.75,2.12,1.38,0.5,1.5,0.62,2.12,1.75
Maids and Housekeeping Cleaners,37-2012.00,2.62,2.12,2.75,2.12,2.12,2,2.75,2.12,1.88,1,1,0,2.75,2.12,2.12,1.62,2.12,1.5,2.75,2,2.88,2.12,3,2.62,2.12,2.12,2.12,2.12,2.12,2.12,3.12,2.62,2.12,2.12,1.12,0.25,1,0,1.25,0.25,1,0,1,0,2,1.38,1.62,0.62,1,0,1.88,0.88,1,0,2,1.75,2.12,2.12,2,1,2,1,3,2.25,1.62,0.62,1.88,0.88,2.12,2
Pest Control Workers,37-2021.00,3,3,3.75,3,3.62,3,3.62,3,2.62,2.62,2,1.75,3.75,3.38,3.12,2.88,2.75,2.75,3.62,3,3.38,2.88,3.12,3,3.12,3,3.12,2.88,2.88,2.88,3.25,3,3.25,3,1.88,1.25,1.62,0.62,2.12,1.88,1,0,1,0,3,2.75,3,2.62,2.25,1.88,2.5,2,2.25,1.88,2.62,2.38,3.12,2.88,2.88,2.62,2.62,2,3.5,3,2.12,2,2.12,2,3,2.88
Landscaping and Groundskeeping Workers,37-3011.00,2.25,1.88,2.75,2.25,1.75,1.25,2.88,1.88,1.75,0.75,1.62,0.88,2.88,1.88,2.25,2,2.12,1.88,2.5,1.88,2.5,2,2.75,2.38,2,1.62,1.88,1.38,2,1.75,2.5,2.12,2.25,2.12,1.25,0.25,1.62,0.62,2.12,1.75,1.12,0.25,1,0,2.75,2.25,3.12,2.62,2.12,1.88,2.12,2,2.25,2,2,2,2.5,2.25,1.88,1.62,1.88,1.62,2.62,2,1.12,0.12,1.5,0.5,2.12,1.75
"Pesticide Handlers, Sprayers, and Applicators, Vegetation",37-3012.00,3,2.88,3.25,3,2.5,2.25,3.12,3,2.25,2,2,1.38,3.12,2.88,2.88,2.38,2.25,2,2.88,2.75,3,2.5,3,2.75,2.38,2.38,2.38,1.75,2.38,2.12,2.5,2.25,3,2.88,1.25,0.38,1.38,0.38,2.25,1.88,1,0,1,0,3,2.88,3,3,2.88,2.25,2.25,2.12,2.25,1.88,2.38,2.25,3,2.88,2.12,2,2.12,2,3.12,2.88,1.75,1.12,1.88,1.25,2.5,2.25
Tree Trimmers and Pruners,37-3013.00,2.62,2.5,2.88,2.62,2.5,2.5,3,2.75,1.88,1.38,1.75,0.88,3.25,3,2.62,2.12,2.25,2,3.12,3,2.62,2.5,3,3.12,2.38,2.12,2.25,2,3,3,2.88,2.5,3.12,2.75,1.38,0.38,1.62,0.62,2.88,2.12,1.25,0.38,1,0,3.62,3,3.75,3.12,2.75,2.38,2.75,2.25,2.25,2,2.75,2.62,2.75,2.5,2.25,2,2,1.62,2.75,3,1.88,1,1.88,1,2.75,2.62
First-Line Supervisors of Gambling Services Workers,39-1013.00,3.62,3.62,3.75,3.5,3.38,3.25,3.75,3.62,2.62,2.38,1.25,0.38,3.62,3.88,3,3,2.75,2.75,3.88,3.62,3.5,3.5,3.38,3.12,3,3.12,3.12,3.12,3.25,3.38,3.88,3.5,3.25,3,1.5,0.88,1.5,0.75,1.75,1.12,1.25,0.38,1.88,1.25,2.38,2,2.12,1.38,1.75,1.25,1.88,1.25,1.75,1.12,2.12,1.5,3.12,3,3,2.62,2.75,2.88,3.5,3.38,1.88,1.25,1.88,1.12,3.38,3.5
First-Line Supervisors of Personal Service Workers,39-1022.00,3.5,3.5,3.88,3.75,3.12,3.12,3.75,3.75,2.12,2.12,1.5,0.62,3.88,3.75,3,3,3,3,3.25,3.5,3.75,3.75,3.62,3.5,3.5,3.25,3.12,3.12,3.38,3.12,3.5,3,3.38,3.12,1.75,1.38,1.62,0.62,1,0,1,0,1.38,0.38,2.38,2.12,1.5,1,1,0,1.88,1,1,0,2.75,2.5,3.38,3.12,3,2.88,3,3,3.62,3.88,2,1.88,2.25,2.12,3.75,3.62
Animal Trainers,39-2011.00,2.88,3.12,3.12,3,2.88,2.75,3.5,3,1.88,1.62,1.75,1.38,3.38,3.38,3.25,3.12,3.5,3.88,3.12,3.5,3,3,3,3,2.88,2.88,2.5,2.25,3.75,3.12,3,3,3,2.75,1.75,1,1.75,0.75,1.12,0.12,1,0,1.12,0.12,2,1.5,1.75,1.75,1,0,1.75,1.25,1,0,2.12,2.12,3.12,2.88,2.88,2.62,2.88,2.62,3,2.75,1.75,1.5,2,1.75,2.62,2.5
Animal Caretakers,39-2021.00,3,2.88,3,3,2.75,2.5,2.88,2.75,2,1.88,1.5,0.5,2.75,2.88,2.38,2.12,2,2,3.12,2.88,2.75,2.25,3,2.5,1.88,1.75,2,1.62,2.12,2,3,2.88,2.62,2.25,1,0,1.62,0.62,1.62,0.62,1.12,0.12,1.25,0.25,1.88,1.38,1.62,0.75,1.5,0.5,1.88,1.25,1.25,0.25,2,1.5,3,2.12,2.12,1.75,2.12,1.62,2.5,2,1.75,0.75,1.75,0.88,2,1.75
Gambling Dealers,39-3011.00,3,2.62,3.38,3,2.25,2.25,3.38,2.88,2.75,2,1,0,2.75,2.88,2.25,2.38,2,2,3,3,3.12,2.75,2.88,2.75,2.62,2.38,2.38,2.25,2.62,2.62,3.12,2.88,2.25,2,1,0,1.12,0.12,1,0,1,0,1,0,1.62,0.88,1.25,0.25,1.12,0.12,1.38,0.38,1,0,1.62,1,2.5,2.38,1.5,0.88,1.62,1.12,2.5,2.5,1.5,0.5,1.25,0.25,2.12,1.75
Gambling and Sports Book Writers and Runners,39-3012.00,2.75,3.12,3.5,3.12,2.88,2.75,3.12,2.88,3,2.75,1.25,0.25,2.88,2.88,2.62,2.5,2.25,2.12,3.12,3.12,3,2.88,3,3,2.5,2.5,2.25,2,2.25,2.25,2.88,2.62,2.5,2.25,1.12,0.12,1,0,1,0,1,0,1.38,0.38,2,1.75,1.62,0.75,1,0,1.75,0.75,1,0,1.88,1.62,2.62,2.5,1.88,1.75,1.88,1,2.38,2.12,1.75,1.12,1.75,0.88,2.38,2.62
Motion Picture Projectionists,39-3021.00,3,3,3,3,2.12,2.75,3,2.88,1.5,0.5,1,0,2.88,2.75,2.12,2.12,2,2,2.88,2.88,2.88,2.25,2.88,2.62,2.12,2,2,2,2,1.88,2.5,2.5,2.88,2.25,1.88,1.62,1.12,0.25,2.12,2,1.25,0.5,1.38,0.62,3.12,3,3,2.75,2.75,2.62,2.88,2.75,2.88,2.25,2.75,2.62,2.88,2.25,2.12,1.25,2.12,1.12,2.88,2.62,1,0,1.5,0.5,1.88,1.62
"Ushers, Lobby Attendants, and Ticket Takers",39-3031.00,2.75,2.25,3.12,2.75,2.25,2.12,3.25,2.5,1.88,1.38,1,0,2.75,2.62,2.62,2.12,1.62,1.25,2.75,2.62,3.38,3,3,2.38,2.88,2.5,2.88,2.25,1.62,1.12,3.25,3,2.5,2.12,1.25,0.38,1,0,1,0,1,0,1.38,0.38,2,1.75,1.62,0.62,1,0,1.88,0.88,1,0,2,1.62,2.38,2.12,2,1.38,2,1.38,2.5,2,1,0,1,0,2.38,2
Amusement and Recreation Attendants,39-3091.00,2.38,2,3,2.5,2.5,2,3.25,2.75,2,1.75,1,0,2.75,2.75,2.38,2,2.12,2,2.88,2.38,3,2.38,2.88,2.62,2.38,2.5,2,2.12,2.12,2,3.12,2.75,2.12,2.12,1.12,0.25,1.38,0.62,1.12,0.12,1,0,1.25,0.25,2.38,2.25,2.25,2,1.75,0.88,2,1.38,1.75,0.88,1.88,1.38,2.62,2.12,2,1.12,2,1.12,2.62,2.12,1,0,1.38,0.5,2,2
Costume Attendants,39-3092.00,2.88,3.12,3.12,3.12,2.5,2.38,3.12,3,1.5,1,1,0,2.88,2.88,2.5,2.25,1.88,1.62,3.12,3,3,3,3.12,3.12,2.75,2.38,2.75,2.38,2.5,2,2.88,2.75,2.25,2.38,2.12,2.12,1.62,0.62,1.12,0.12,1,0,1,0,1.88,1.25,2,1.25,1,0,1.62,0.75,1,0,2,1.5,2.38,2.38,2.12,1.62,2.38,1.75,2.75,2.25,1.88,1.38,2,1.38,2.25,2.12
"Locker Room, Coatroom, and Dressing Room Attendants",39-3093.00,2.62,2.38,3.5,2.88,2.25,2.12,3.62,2.75,1.38,0.38,1,0,2.5,2.75,2.12,2,1.38,0.38,2.75,2.38,3.12,2.62,2.75,2.38,2.25,2.25,2.5,2,2,1.62,3.5,2.62,2,2,1.25,0.25,1,0,1.12,0.25,1,0,1,0,1.62,0.62,1.5,0.5,1,0,1,0,1,0,1.25,0.25,2.25,2.25,1,0,1.38,0.38,2.38,2.12,1,0,1.25,0.5,2,1.38
Embalmers,39-4011.00,3,3.38,3.75,3.75,3.12,3,3.88,3.75,2,2,2.62,2.25,3.12,3.12,3,3,2.12,2.75,3,3.12,3.12,3.88,3,3,2.25,2.12,2.38,2.62,2.62,2.62,3.12,3,2.88,3,2,1.88,1.88,1,1.62,1,1,0,1.25,0.25,2.75,2.12,2.12,2.25,1.5,1,2,1.62,1.5,1,2.25,1.88,3,3,2.12,2.12,2.12,2.12,3.12,3.12,2,1.12,2,1.25,2.75,2.75
Funeral Attendants,39-4021.00,2.62,2.62,3.12,3,2.38,2.38,3.38,3,1.75,1.25,1.38,0.5,2.75,2.75,2,1.5,1.88,1.38,3.12,2.88,3.5,3.25,3,3,2,1.88,2,1.25,2.12,1.25,3.38,3,2.38,2,1.62,0.75,1.5,0.5,1.5,0.62,1,0,1.12,0.12,2.25,1.25,2.12,1.62,1.75,1.25,1.75,1.12,1.25,0.38,2,1.25,2.88,2.62,2,1.12,1.75,1,2.5,2.5,1.5,1.12,2,1.38,1.88,1.25
"Morticians, Undertakers, and Funeral Arrangers",39-4031.00,3.25,3.88,4,4,3.25,4,3.88,4,2.88,2.62,1.88,1.75,3.25,3.88,3.12,3.25,2.88,2.88,3.12,3.75,4.12,4.75,3.88,4,3,3.75,3.25,3.62,3,3.12,3.88,4.12,3.12,3.25,2.75,2.75,1.62,0.75,1.25,0.38,1,0,1.38,0.5,3,3,2.62,2.75,1,0,2,1.25,1,0,2.75,2.75,3.12,3.25,3,3,2.75,3.12,3.38,3.62,2.75,2.75,2.75,2.88,3,3.62
Barbers,39-5011.00,2.75,2.12,3.38,3,2,2,3.12,2.75,1.88,1.12,1.25,0.25,2.88,2.75,2.5,2.5,1.88,1.62,2.88,2.75,3.12,2.88,2.5,2.38,2.25,2,2,1.5,1.62,0.75,3.12,3,2.25,2.12,2.12,1.25,1.5,0.5,1.88,1.25,1,0,1,0,2,1.5,1.88,1.5,2,1,2,1.12,1.88,0.88,1.88,1.62,3,2.12,1.75,0.88,1.62,0.75,2.62,2.75,1.75,1.12,2,1.12,2,1.75
